trial,objective,episodes,env_steps,wall_s,params
46,542.963,1,4500,61.0,"{""werr"": [874.5267917542135, 1082.6287103410955, 251.6131885504617, 58.392718255869376, 0.22969412839923337, 0.9140574956063239, 28.58131404985245, 2341.4506426973808, 4022.728648186213, 218.21581954157983, 0.1688915072988153, 4788.134586248347], ""wu"": [0.03686099490425289]}"
47,238.816,1,4500,60.9,"{""werr"": [1768.263341419228, 316.68006347907124, 395.87404318097293, 22.72655270871558, 0.3707259215569338, 0.3044653233140835, 20.673624181417658, 728.745501305818, 4558.948652187658, 176.77894605828374, 0.10048282796961346, 3345.2969055579147], ""wu"": [0.048425393189837615]}"
48,674.813,1,4500,60.5,"{""werr"": [217.0027680790571, 2379.165177349889, 1061.9664632863964, 7.974781920485657, 2.0478594473802554, 1.2551648800930908, 10.3695651141075, 4690.9047967446995, 2641.0300820584375, 106.76867243217262, 1.6237526098384976, 2589.160817272023], ""wu"": [0.12950627545753482]}"
49,361.825,1,4500,61.4,"{""werr"": [3139.020714617627, 738.7016503604791, 119.77258762767276, 0.8866235688251548, 0.8829412647154894, 1.921757075977681, 19.97544951736673, 339.87490689529045, 2770.3316953718418, 519.42419616114, 4.481355609311646, 1723.0362897775265], ""wu"": [0.09518608234184038]}"
50,556.228,1,4500,60.3,"{""werr"": [1527.2918735903918, 3231.9059252396587, 1392.1213219541394, 218.8684729468249, 0.19941632662460704, 17.205711114707448, 60.822852255760175, 2.1915487329145367, 4896.493932427243, 469.47813782906803, 0.20230260563956476, 446.23522665557203], ""wu"": [0.05418670342851852]}"
51,33877.6,1,4500,60.3,"{""werr"": [864.6275484931812, 279.99569818389296, 836.5234329236569, 44.24497092630487, 0.3713703366856874, 0.2534507636991941, 148.36042856875815, 2869.9801496548616, 667.4856864186753, 112.22967420022644, 0.6495483018820439, 1202.9245785178439], ""wu"": [0.028370972446369665]}"
52,74.8529,1,4500,60.2,"{""werr"": [3196.9758449774204, 965.4922738727532, 2799.8339954283265, 92.3935003748959, 0.1765397125002539, 6.010320561750275, 10.550743653448745, 1478.2027438613263, 1836.840412127384, 3150.1957286582087, 0.2504699268420383, 742.046245299543], ""wu"": [0.041880313550673856]}"
53,221.434,1,4500,60.8,"{""werr"": [2765.3073309804618, 973.146630620832, 1925.9736641190054, 107.69616631854826, 0.20852065742112424, 5.667200661454954, 7.425978368643512, 1812.9974789379878, 1799.7322568696193, 3404.5339691870154, 0.15559342429047862, 4719.77071159969], ""wu"": [0.0821668507337353]}"
54,21199.3,1,4500,60.3,"{""werr"": [2017.7116540164125, 1892.0018988004456, 2945.219046392392, 228.45378775500836, 0.429071236527975, 8.69567179081187, 12.540378539715057, 945.2379127728647, 428.65014687335974, 4677.057306626973, 0.2400920251856279, 2644.177980521044], ""wu"": [0.04107447718382727]}"
55,219.584,1,4500,60.1,"{""werr"": [885.7860078270636, 1067.5715821760261, 614.292553713357, 74.21527714692105, 0.1844114677032042, 56.301930678727146, 2.189144914945201, 1447.8534799146307, 2851.575072912044, 2512.3912246512223, 8.836605164168459, 544.5683427816082], ""wu"": [0.1590335463135928]}"
56,10.5971,1,4500,60.6,"{""werr"": [3105.0695488496503, 3559.6136925017254, 1289.874310718633, 47.833168246395005, 0.7914336017123301, 1.052987465938242, 4.685420007514175, 3578.056735124748, 1525.435163252843, 346.6853792193637, 0.13178228894131305, 299.50604792457045], ""wu"": [0.027130327714699514]}"
57,2092.98,1,4500,61.1,"{""werr"": [3303.1142956372696, 3381.4081488476513, 1205.273763004588, 50.97702105132058, 0.714977628223622, 2223.8726073023877, 0.8371753545408417, 3770.706296125746, 116.23992898830163, 367.0300235118528, 0.13457739237150051, 311.05965703385124], ""wu"": [0.02721875983739792]}"
58,444.449,1,4500,60.8,"{""werr"": [1609.047451860027, 155.8494245226178, 3014.2971325786257, 25.29491162172321, 1.5552338373123216, 1.0668051045918459, 3.502450043957388, 1023.3959208652823, 1577.232435892719, 73.91443062424337, 0.5652745701903692, 1465.9451656525919], ""wu"": [0.015274121640342347]}"
59,39.6823,1,4500,60.3,"{""werr"": [3624.274994616873, 2204.293009368346, 378.8405206837772, 85.90590170830903, 0.7500039380464335, 0.16180961301479493, 5.593861648684291, 622.924970432499, 701.4154593345526, 233.09739720774022, 0.14824735073031164, 990.9726399432724], ""wu"": [0.04212383550457995]}"
60,14290.6,5,4500,61.4,"{""werr"": [389.40941093291235, 0.10987372409950984, 55.11237789115043, 218.4837463892525, 0.9025799733825423, 0.15238618875378926, 1.663676094543936, 743.4802355113802, 160.43528983066182, 253.88008324856983, 0.1387719451753981, 2776.386506357035], ""wu"": [0.03096691288189957]}"
61,26.5815,1,4500,60.1,"{""werr"": [0.5800699027375926, 2329.685942343949, 166.36549461832632, 8.662712727738262, 2.382744087520318, 0.17283777203091555, 5.127582980366561, 529.7203327548755, 362.10251976192194, 140.44926580695144, 0.7276107466202564, 291.47000051853513], ""wu"": [0.02294540179243423]}"
62,97771.2,1,4500,60.0,"{""werr"": [0.14679113189748536, 2185.022266236158, 164.93803571430396, 0.21684487975422764, 3.838887903958541, 0.19158419770701862, 5.606641342628577, 274.3736558470834, 576.2385462714266, 139.43914614841722, 0.10484792199623597, 313.8790742656665], ""wu"": [0.021883413270740917]}"
